Wall time,Step,Value
1692378648.059653,14558,-5.186344146728516
1692378689.4856443,14633,-4.880345344543457
1692378692.339568,14639,-4.98455810546875
1692378708.9908996,14669,-4.877310752868652
1692378715.2099566,14678,-5.012346267700195
1692378720.0252028,14688,-5.018227577209473
1692378771.5580006,14780,-4.935451507568359
1692378776.355149,14789,-5.102053642272949
1692378788.4676926,14810,-4.931060314178467
1692378825.0799234,14874,-5.028008460998535
1692378834.2329679,14893,-4.8301496505737305
1692378911.508629,15028,-5.019952774047852
1692378945.6880403,15091,-4.998599529266357
1692378972.0799322,15137,-4.966291904449463
1692378997.4681504,15181,-4.772994041442871
1692379045.5544834,15267,-5.091403961181641
1692379077.5246289,15325,-5.046899795532227
1692379161.4942136,15474,-5.210155963897705
1692379162.433242,15476,-4.973517417907715
1692379182.442285,15508,-4.900511264801025
1692379199.2990336,15539,-5.110825061798096
1692379314.8233745,15741,-5.052901268005371
1692379326.481807,15765,-5.061316967010498
1692379332.7005339,15774,-5.062824726104736
1692379363.1923432,15829,-5.066654205322266
1692379448.4832842,15980,-4.996849060058594
1692379455.1264174,15994,-4.9672369956970215
1692379512.7994409,16096,-5.022029399871826
1692379525.0850465,16117,-4.864861011505127
1692379599.6181836,16250,-5.045905113220215
1692379638.8901987,16322,-5.099372863769531
1692379651.5906997,16344,-5.006412029266357
1692379662.0176191,16361,-4.984741687774658
1692379686.4223487,16407,-4.96486759185791
1692379707.3009846,16441,-4.936419486999512
1692379743.6668427,16506,-5.08603572845459
1692379789.7859921,16586,-4.729676246643066
1692379834.064996,16662,-5.156308650970459
1692379853.9060655,16698,-5.059826374053955
1692379917.5169606,16809,-5.099330425262451
1692379917.9958239,16810,-4.961907386779785
1692379936.7111614,16844,-4.929041862487793
1692379945.7407515,16858,-5.076206207275391
1692379968.7861733,16900,-5.082967281341553
1692380064.5516694,17067,-4.748073101043701
1692380081.714388,17098,-4.940969944000244
1692380101.0653415,17132,-4.776411056518555
1692380163.4385388,17240,-4.916329860687256
1692380181.7587292,17273,-4.710712432861328
1692380192.5341246,17291,-4.873257637023926
1692380193.5388525,17293,-4.88974142074585
1692380208.2599087,17317,-4.79203987121582
1692380208.7412653,17318,-5.023190021514893
1692380210.1904979,17321,-4.992064476013184
1692380219.907561,17340,-4.967018127441406
1692380241.436329,17375,-4.798239707946777
1692380258.8537261,17406,-4.899692058563232
1692380280.0293806,17445,-5.040084362030029
1692380285.3740485,17455,-4.874731063842773
1692380335.5073516,17544,-4.8237223625183105
1692380344.8173504,17558,-4.9119791984558105
1692380361.4786785,17587,-4.825927734375
1692380365.3994322,17595,-4.875452518463135
1692380381.9074066,17624,-5.002087116241455
1692380439.8501878,17723,-5.024903297424316
1692380569.9975781,17954,-4.777159214019775
1692380586.0272584,17982,-4.796993255615234
1692380593.39559,17991,-4.8244476318359375
1692380609.919675,18019,-4.592607498168945
1692380630.07547,18054,-4.818010330200195
1692380635.9972649,18066,-4.750955581665039
1692380672.2182481,18130,-4.669078350067139
1692380751.8731918,18265,-4.664888381958008
1692380781.1258035,18319,-4.626131057739258
1692380859.398279,18452,-4.645728588104248
1692380859.8869157,18453,-4.573433876037598
1692380940.0442922,18593,-4.673410892486572
1692381010.5851877,18714,-4.631868362426758
1692381014.0187027,18721,-4.834330081939697
1692381088.5299833,18846,-4.599672317504883
1692381153.5758846,18959,-4.382614612579346
1692381182.1314046,19006,-4.599266052246094
1692381193.0700214,19028,-4.484309673309326
1692381206.653363,19049,-4.488093376159668
1692381246.8344457,19117,-4.517141342163086
1692381279.709888,19170,-4.533952713012695
1692381314.3877923,19228,-4.484189987182617
1692381340.1935205,19272,-4.469875812530518
1692381468.1453342,19486,-4.334218978881836
1692381477.4334238,19504,-4.452137470245361
1692381491.088849,19526,-4.342257022857666
1692381494.1884427,19532,-4.2566399574279785
1692381558.475903,19641,-4.265068054199219
1692381568.2721722,19655,-4.149600982666016
1692381574.0863876,19666,-4.173115253448486
1692381613.665691,19732,-4.391600608825684
1692381616.7503002,19738,-4.3066253662109375
1692381652.4433498,19797,-4.301009654998779
1692381669.774762,19824,-4.271739482879639
1692381685.1270363,19847,-4.1606011390686035
1692381726.406791,19917,-4.196993827819824
1692381738.134986,19939,-4.148184299468994
1692381757.9392548,19972,-4.166903972625732
1692381772.8806844,19996,-4.247229099273682
1692381796.7079792,20036,-4.0828447341918945
1692381808.8616645,20054,-4.163168430328369
1692381812.018123,20060,-4.1743998527526855
1692381813.606374,20063,-4.035810947418213
1692381861.552665,20139,-4.124940395355225
